wavelength;X;Y;Z
380;0.00136800000;0.00003900000;0.00645000100
381;0.00150205000;0.00004282640;0.00708321600
382;0.00164232800;0.00004691460;0.00774548800
383;0.00180238200;0.00005158960;0.00850115200
384;0.00199575700;0.00005717640;0.00941454400
385;0.00223600000;0.00006400000;0.01054999000
386;0.00253538500;0.00007234420;0.01196580000
387;0.00289260300;0.00008221220;0.01365587000
388;0.00330082900;0.00009350820;0.01558805000
389;0.00375323600;0.00010613600;0.01773015000
390;0.00424300000;0.00012000000;0.02005001000
391;0.00476238900;0.00013498400;0.02251136000
392;0.00533004800;0.00015149200;0.02520288000
393;0.00597871200;0.00017020800;0.02827972000
394;0.00674111700;0.00019181600;0.03189704000
395;0.00765000000;0.00021700000;0.03621000000
396;0.00875137300;0.00024690700;0.04143771000
397;0.01002888000;0.00028124000;0.04750372000
398;0.01142170000;0.00031852000;0.05411988000
399;0.01286901000;0.00035726700;0.06099803000
400;0.01431000000;0.00039600000;0.06785001000
401;0.01570443000;0.00043371500;0.07448632000
402;0.01714744000;0.00047302400;0.08136156000
403;0.01878122000;0.00051787600;0.08915364000
404;0.02074801000;0.00057221900;0.09854048000
405;0.02319000000;0.00064000000;0.11020000000
406;0.02620736000;0.00072456000;0.12461330000
407;0.02978248000;0.00082550000;0.14170170000
408;0.03388092000;0.00094116000;0.16130350000
409;0.03846824000;0.00106988000;0.18325680000
410;0.04351000000;0.00121000000;0.20740000000
411;0.04899560000;0.00136209100;0.23369210000
412;0.05502260000;0.00153075200;0.26261140000
413;0.06171880000;0.00172036800;0.29477460000
414;0.06921200000;0.00193532300;0.33079850000
415;0.07763000000;0.00218000000;0.37130000000
416;0.08695811000;0.00245480000;0.41620910000
417;0.09717672000;0.00276400000;0.46546420000
418;0.10840630000;0.00311780000;0.51969480000
419;0.12076720000;0.00352640000;0.57953030000
420;0.13438000000;0.00400000000;0.64560000000
421;0.14935820000;0.00454624000;0.71848380000
422;0.16539570000;0.00515932000;0.79671330000
423;0.18198310000;0.00582928000;0.87784590000
424;0.19861100000;0.00654616000;0.95943900000
425;0.21477000000;0.00730000000;1.03905010000
426;0.23018680000;0.00808650700;1.11536730000
427;0.24487970000;0.00890872000;1.18849710000
428;0.25877730000;0.00976768000;1.25812330000
429;0.27180790000;0.01066443000;1.32392960000
430;0.28390000000;0.01160000000;1.38560000000
431;0.29494380000;0.01257317000;1.44263520000
432;0.30489650000;0.01358272000;1.49480350000
433;0.31378730000;0.01462968000;1.54219030000
434;0.32164540000;0.01571509000;1.58488070000
435;0.32850000000;0.01684000000;1.62296000000
436;0.33435130000;0.01800736000;1.65640480000
437;0.33921010000;0.01921448000;1.68529590000
438;0.34312130000;0.02045392000;1.70987450000
439;0.34612960000;0.02171824000;1.73038210000
440;0.34828000000;0.02300000000;1.74706000000
441;0.34959990000;0.02429461000;1.76004460000
442;0.35014740000;0.02561024000;1.76962330000
443;0.35001300000;0.02695857000;1.77626370000
444;0.34928700000;0.02835125000;1.78043340000
445;0.34806000000;0.02980000000;1.78260000000
446;0.34637330000;0.03131083000;1.78296820000
447;0.34426240000;0.03288368000;1.78169980000
448;0.34180880000;0.03452112000;1.77919820000
449;0.33909410000;0.03622571000;1.77586710000
450;0.33620000000;0.03800000000;1.77211000000
451;0.33319770000;0.03984667000;1.76825890000
452;0.33004110000;0.04176800000;1.76403900000
453;0.32663570000;0.04376600000;1.75894380000
454;0.32288680000;0.04584267000;1.75246630000
455;0.31870000000;0.04800000000;1.74410000000
456;0.31402510000;0.05024368000;1.73355950000
457;0.30888400000;0.05257304000;1.72085810000
458;0.30329040000;0.05498056000;1.70593690000
459;0.29725790000;0.05745872000;1.68873720000
460;0.29080000000;0.06000000000;1.66920000000
461;0.28397010000;0.06260197000;1.64752870000
462;0.27672140000;0.06527752000;1.62341270000
463;0.26891780000;0.06804208000;1.59602230000
464;0.26042270000;0.07091109000;1.56452800000
465;0.25110000000;0.07390000000;1.52810000000
466;0.24084750000;0.07701600000;1.48611140000
467;0.22985120000;0.08026640000;1.43952150000
468;0.21840720000;0.08366680000;1.38987990000
469;0.20681150000;0.08723280000;1.33873620000
470;0.19536000000;0.09098000000;1.28764000000
471;0.18421360000;0.09491755000;1.23742230000
472;0.17332730000;0.09904584000;1.18782430000
473;0.16268810000;0.10336740000;1.13876110000
